filename,centroid_lat,centroid_lon,area_ha,distance_to_road_km
task_grid_45.86_60.15.kml,45.86,60.15,5900.2,40.36
task_grid_44.96_60.85.kml,44.96,60.85,5879.9,36.93
task_grid_44.96_60.45.kml,44.96,60.45,5864.6,55.86
task_grid_43.66_60.05.kml,43.66,60.05,5844.2,14.25
task_grid_43.56_61.15.kml,43.56,61.15,5834.5,8.6
task_grid_44.56_59.75.kml,44.56,59.75,5799.7,47.43
task_grid_45.86_61.45.kml,45.86,61.45,5768.4,4.11
task_grid_44.26_60.45.kml,44.26,60.45,5763.8,25.03
task_grid_43.76_60.65.kml,43.76,60.65,5753.3,3.44
task_grid_45.56_60.35.kml,45.56,60.35,5749.8,67.52
task_grid_44.96_60.95.kml,44.96,60.95,5738.6,34.19
task_grid_45.86_60.95.kml,45.86,60.95,5731.4,13.49
task_grid_45.76_59.85.kml,45.76,59.85,5720.0,25.72
task_grid_45.46_60.65.kml,45.46,60.65,5703.5,63.69
task_grid_43.76_60.45.kml,43.76,60.45,5702.6,14.67
task_grid_43.76_61.25.kml,43.76,61.25,5664.6,12.0
task_grid_44.86_60.75.kml,44.86,60.75,5653.2,31.62
task_grid_45.46_58.85.kml,45.46,58.85,5646.7,24.56
task_grid_45.76_60.65.kml,45.76,60.65,5620.3,37.12
task_grid_44.26_61.75.kml,44.26,61.75,5619.0,38.99
task_grid_44.36_59.15.kml,44.36,59.15,5612.2,14.9
task_grid_46.36_60.25.kml,46.36,60.25,5604.4,14.06
task_grid_44.26_58.85.kml,44.26,58.85,5598.3,2.47
task_grid_45.96_59.95.kml,45.96,59.95,5587.8,34.16
task_grid_43.76_60.85.kml,43.76,60.85,5575.6,5.81
task_grid_45.66_60.75.kml,45.66,60.75,5548.6,40.45
task_grid_45.86_60.85.kml,45.86,60.85,5545.8,18.09
task_grid_43.76_60.55.kml,43.76,60.55,5545.3,9.34
task_grid_44.16_61.75.kml,44.16,61.75,5519.0,48.3
task_grid_43.86_61.15.kml,43.86,61.15,5513.3,11.22
task_grid_45.26_58.75.kml,45.26,58.75,5510.9,5.29
task_grid_46.16_60.45.kml,46.16,60.45,5509.8,6.66
task_grid_43.76_60.95.kml,43.76,60.95,5475.6,7.2
task_grid_45.16_60.85.kml,45.16,60.85,5458.6,57.72
task_grid_43.66_59.95.kml,43.66,59.95,5458.5,20.11
task_grid_44.06_60.95.kml,44.06,60.95,5415.0,7.99
task_grid_44.36_59.05.kml,44.36,59.05,5389.2,10.88
task_grid_44.56_59.15.kml,44.56,59.15,5383.6,11.27
task_grid_45.56_60.25.kml,45.56,60.25,5363.1,62.56
task_grid_45.86_59.55.kml,45.86,59.55,5353.1,6.16
task_grid_45.66_61.35.kml,45.66,61.35,5336.5,7.92
task_grid_45.06_60.75.kml,45.06,60.75,5322.1,50.39
task_grid_46.26_60.25.kml,46.26,60.25,5321.0,4.36
task_grid_44.36_61.65.kml,44.36,61.65,5291.2,25.32
task_grid_43.56_60.15.kml,43.56,60.15,5276.7,0.51
task_grid_45.66_60.55.kml,45.66,60.55,5199.5,50.32
task_grid_43.66_60.65.kml,43.66,60.65,5192.3,3.31
task_grid_45.86_60.05.kml,45.86,60.05,5180.1,41.35
task_grid_45.96_59.05.kml,45.96,59.05,5178.5,6.93
task_grid_46.16_60.65.kml,46.16,60.65,5176.9,4.4
task_grid_46.26_60.75.kml,46.26,60.75,5162.4,0.35
task_grid_44.66_59.15.kml,44.66,59.15,5152.9,10.8
task_grid_45.36_59.35.kml,45.36,59.35,5144.5,6.99
task_grid_44.36_59.55.kml,44.36,59.55,5089.7,20.36
task_grid_45.86_59.85.kml,45.86,59.85,5082.6,26.12
task_grid_43.96_58.05.kml,43.96,58.05,5082.1,2.05
task_grid_44.26_59.95.kml,44.26,59.95,5078.5,26.71
task_grid_45.86_59.75.kml,45.86,59.75,5064.8,18.7
task_grid_44.16_58.95.kml,44.16,58.95,5035.4,5.09
task_grid_44.66_60.55.kml,44.66,60.55,5021.9,31.92
task_grid_45.56_59.05.kml,45.56,59.05,5015.4,33.89
task_grid_45.26_61.25.kml,45.26,61.25,4994.9,35.37
task_grid_45.56_60.15.kml,45.56,60.15,4949.0,55.63
task_grid_44.66_61.05.kml,44.66,61.05,4914.9,0.05
task_grid_46.36_59.25.kml,46.36,59.25,4907.3,3.42
task_grid_45.86_60.25.kml,45.86,60.25,4892.1,40.01
task_grid_46.36_58.75.kml,46.36,58.75,4875.2,7.09
task_grid_44.66_60.75.kml,44.66,60.75,4858.0,16.72
task_grid_45.46_59.35.kml,45.46,59.35,4845.9,18.07
task_grid_45.56_59.85.kml,45.56,59.85,4842.6,36.91
task_grid_45.16_60.45.kml,45.16,60.45,4800.5,72.46
task_grid_46.06_59.15.kml,46.06,59.15,4799.5,0.27
task_grid_46.06_59.95.kml,46.06,59.95,4785.0,23.58
task_grid_45.76_60.75.kml,45.76,60.75,4782.1,31.48
task_grid_45.86_60.45.kml,45.86,60.45,4780.2,36.16
task_grid_44.36_60.05.kml,44.36,60.05,4758.6,39.97
task_grid_44.56_58.95.kml,44.56,58.95,4753.2,2.8
task_grid_44.66_60.85.kml,44.66,60.85,4743.7,9.94
task_grid_45.56_58.95.kml,45.56,58.95,4740.3,27.28
task_grid_46.16_59.45.kml,46.16,59.45,4734.2,5.67
task_grid_44.16_60.55.kml,44.16,60.55,4727.5,12.59
task_grid_45.66_60.35.kml,45.66,60.35,4724.2,58.17
task_grid_45.76_59.35.kml,45.76,59.35,4719.1,2.49
task_grid_45.56_59.75.kml,45.56,59.75,4719.1,32.06
task_grid_43.66_60.35.kml,43.66,60.35,4700.2,10.44
task_grid_43.56_60.25.kml,43.56,60.25,4689.0,0.11
task_grid_44.26_60.35.kml,44.26,60.35,4680.2,31.76
task_grid_44.36_58.85.kml,44.36,58.85,4674.2,4.87
task_grid_45.16_60.95.kml,45.16,60.95,4661.9,53.63
task_grid_45.86_61.75.kml,45.86,61.75,4626.2,6.44
task_grid_45.56_61.35.kml,45.56,61.35,4588.0,14.14
task_grid_44.86_61.25.kml,44.86,61.25,4585.5,12.86
task_grid_45.86_60.35.kml,45.86,60.35,4578.4,40.19
