filename,centroid_lat,centroid_lon,area_ha,low_risk_ha,moderate_risk_ha,distance_to_road_km,distance_to_kazakhstan_road_km,territory_scope
task_grid_v6_45.91_61.26.kml,45.91,61.26,157.8,141.7,16.1,3.32,3.32,kazakhstan
task_grid_v6_45.51_61.26.kml,45.51,61.26,157.5,0.0,157.5,22.61,22.61,kazakhstan
task_grid_v6_45.91_60.36.kml,45.91,60.36,154.7,47.0,107.7,34.49,34.49,kazakhstan
task_grid_v6_46.01_60.56.kml,46.01,60.56,153.2,67.2,86.0,18.9,18.9,kazakhstan
task_grid_v6_46.31_60.46.kml,46.31,60.46,150.0,71.2,78.8,10.06,10.06,kazakhstan
task_grid_v6_46.31_60.16.kml,46.31,60.16,149.0,107.0,42.0,6.16,6.16,kazakhstan
task_grid_v6_46.51_59.96.kml,46.51,59.96,149.0,149.0,0.0,3.19,3.19,kazakhstan
task_grid_v6_46.01_61.16.kml,46.01,61.16,148.2,148.2,0.0,0.04,0.04,kazakhstan
task_grid_v6_45.11_61.36.kml,45.11,61.36,147.2,0.0,147.2,32.02,32.02,kazakhstan
task_grid_v6_45.01_61.66.kml,45.01,61.66,146.2,30.2,116.0,7.96,7.96,kazakhstan
task_grid_v6_46.11_61.16.kml,46.11,61.16,140.7,40.5,100.2,1.25,1.25,kazakhstan
task_grid_v6_44.91_60.56.kml,44.91,60.56,140.4,0.0,140.4,45.97,45.97,kazakhstan
task_grid_v6_44.71_60.86.kml,44.71,60.86,138.4,0.0,138.4,13.51,13.51,kazakhstan
task_grid_v6_45.81_60.06.kml,45.81,60.06,132.5,50.7,81.8,41.67,41.67,kazakhstan
task_grid_v6_46.41_60.26.kml,46.41,60.26,127.4,127.4,0.0,19.49,19.49,kazakhstan
task_grid_v6_46.31_59.76.kml,46.31,59.76,122.0,109.6,12.5,1.03,1.03,kazakhstan
task_grid_v6_45.91_58.86.kml,45.91,58.86,119.1,25.5,93.6,3.72,3.72,kazakhstan
task_grid_v6_45.11_60.96.kml,45.11,60.96,118.9,0.0,118.9,48.84,48.84,kazakhstan
task_grid_v6_46.51_61.16.kml,46.51,61.16,118.6,118.6,0.0,9.26,9.26,kazakhstan
task_grid_v6_45.71_60.66.kml,45.71,60.66,117.6,0.0,117.6,40.1,40.1,kazakhstan
task_grid_v6_45.61_58.66.kml,45.61,58.66,114.5,0.0,114.5,3.94,3.94,kazakhstan
task_grid_v6_44.71_61.46.kml,44.71,61.46,113.4,0.0,113.4,1.27,1.86,kazakhstan
task_grid_v6_45.91_59.46.kml,45.91,59.46,112.3,47.9,64.4,3.08,3.08,kazakhstan
task_grid_v6_45.51_60.76.kml,45.51,60.76,111.6,0.0,111.6,54.82,54.82,kazakhstan
task_grid_v6_45.21_61.66.kml,45.21,61.66,109.5,42.8,66.7,7.64,7.64,kazakhstan
task_grid_v6_46.31_60.76.kml,46.31,60.76,108.8,108.8,0.0,2.62,2.62,kazakhstan
task_grid_v6_45.21_59.46.kml,45.21,59.46,101.9,0.0,101.9,5.43,5.43,kazakhstan
task_grid_v6_45.71_61.16.kml,45.71,61.16,97.5,0.0,97.5,18.75,18.75,kazakhstan
task_grid_v6_45.21_61.36.kml,45.21,61.36,97.4,25.3,72.1,28.18,28.18,kazakhstan
