filename,centroid_lat,centroid_lon,area_ha
task_grid_45.36_58.75.kml,45.36,58.75,2935.2
task_grid_45.56_59.35.kml,45.56,59.35,2927.2
task_grid_43.76_59.75.kml,43.76,59.75,2922.4
task_grid_46.16_59.65.kml,46.16,59.65,2914.3
task_grid_45.86_58.65.kml,45.86,58.65,2907.3
task_grid_45.76_60.15.kml,45.76,60.15,2893.8
task_grid_45.86_61.65.kml,45.86,61.65,2890.0
task_grid_46.36_60.45.kml,46.36,60.45,2850.6
task_grid_44.06_61.95.kml,44.06,61.95,2797.2
task_grid_45.76_59.55.kml,45.76,59.55,2785.5
task_grid_44.36_59.45.kml,44.36,59.45,2781.9
task_grid_44.06_60.25.kml,44.06,60.25,2764.1
task_grid_45.66_59.55.kml,45.66,59.55,2747.7
task_grid_45.86_60.55.kml,45.86,60.55,2721.7
task_grid_45.16_61.15.kml,45.16,61.15,2701.4
task_grid_45.26_61.35.kml,45.26,61.35,2680.9
task_grid_45.66_60.45.kml,45.66,60.45,2666.7
task_grid_45.76_60.45.kml,45.76,60.45,2657.5
task_grid_45.66_59.25.kml,45.66,59.25,2623.7
task_grid_44.36_58.95.kml,44.36,58.95,2571.0
task_grid_45.86_61.55.kml,45.86,61.55,2555.2
task_grid_44.96_61.35.kml,44.96,61.35,2545.1
task_grid_44.86_61.35.kml,44.86,61.35,2509.3
task_grid_44.76_61.25.kml,44.76,61.25,2473.5
task_grid_44.16_61.95.kml,44.16,61.95,2468.5
