filename,centroid_lat,centroid_lon,area_ha,distance_to_road_km,distance_to_kazakhstan_road_km,territory_scope
task_grid_46.05_59.68.kml,46.05,59.68,1007.1,13.62,13.62,kazakhstan
task_grid_46.05_60.48.kml,46.05,60.48,980.7,19.08,19.08,kazakhstan
task_grid_46.35_59.48.kml,46.35,59.48,959.8,0.02,0.02,kazakhstan
task_grid_45.55_60.18.kml,45.55,60.18,956.7,58.22,58.22,kazakhstan
task_grid_45.85_59.28.kml,45.85,59.28,955.6,4.72,4.72,kazakhstan
task_grid_45.65_59.08.kml,45.65,59.08,930.8,25.7,25.7,kazakhstan
task_grid_44.85_61.28.kml,44.85,61.28,903.1,10.75,10.75,kazakhstan
task_grid_45.85_59.38.kml,45.85,59.38,890.8,0.57,0.57,kazakhstan
task_grid_45.45_60.28.kml,45.45,60.28,867.2,70.71,70.71,kazakhstan
task_grid_46.15_60.68.kml,46.15,60.68,858.4,2.35,2.35,kazakhstan
task_grid_46.25_59.78.kml,46.25,59.78,857.1,4.61,4.61,kazakhstan
task_grid_45.75_59.58.kml,45.75,59.58,852.7,7.24,7.24,kazakhstan
task_grid_46.45_59.98.kml,46.45,59.98,852.4,4.18,4.18,kazakhstan
task_grid_44.45_60.98.kml,44.45,60.98,816.4,7.62,7.62,kazakhstan
task_grid_45.95_58.98.kml,45.95,58.98,816.2,5.22,5.22,kazakhstan
task_grid_45.65_59.28.kml,45.65,59.28,793.3,15.85,15.85,kazakhstan
task_grid_45.45_59.38.kml,45.45,59.38,777.9,17.03,17.03,kazakhstan
task_grid_46.25_60.78.kml,46.25,60.78,743.3,1.6,1.6,kazakhstan
task_grid_45.95_58.88.kml,45.95,58.88,720.0,0.38,0.38,kazakhstan
task_grid_46.25_59.48.kml,46.25,59.48,688.3,1.31,1.31,kazakhstan
task_grid_45.25_59.18.kml,45.25,59.18,653.0,9.11,13.64,kazakhstan
task_grid_44.65_61.18.kml,44.65,61.18,637.5,0.07,0.07,kazakhstan
task_grid_45.45_61.38.kml,45.45,61.38,585.2,21.72,21.72,kazakhstan
task_grid_46.25_59.58.kml,46.25,59.58,581.5,5.85,5.85,kazakhstan
task_grid_46.15_60.78.kml,46.15,60.78,578.4,3.04,3.04,kazakhstan
task_grid_45.65_59.68.kml,45.65,59.68,573.1,20.82,20.82,kazakhstan
task_grid_46.35_60.68.kml,46.35,60.68,547.9,9.19,9.19,kazakhstan
task_grid_45.05_61.28.kml,45.05,61.28,529.7,32.55,32.55,kazakhstan
task_grid_45.55_59.38.kml,45.55,59.38,527.0,26.16,26.16,kazakhstan
task_grid_44.55_60.68.kml,44.55,60.68,507.9,21.83,21.83,kazakhstan
task_grid_46.35_60.08.kml,46.35,60.08,505.6,3.98,3.98,kazakhstan
task_grid_45.45_58.78.kml,45.45,58.78,495.2,19.4,19.4,kazakhstan
task_grid_45.85_61.78.kml,45.85,61.78,480.0,5.77,5.77,kazakhstan
task_grid_45.75_61.38.kml,45.75,61.38,477.6,3.05,3.05,kazakhstan
task_grid_46.25_60.68.kml,46.25,60.68,462.6,2.3,2.3,kazakhstan
task_grid_45.55_60.08.kml,45.55,60.08,443.5,51.54,51.54,kazakhstan
task_grid_44.45_61.08.kml,44.45,61.08,443.1,1.48,1.48,kazakhstan
task_grid_45.75_61.48.kml,45.75,61.48,441.8,0.77,0.77,kazakhstan
task_grid_45.95_60.28.kml,45.95,60.28,419.5,30.21,30.21,kazakhstan
