pit_id,depth_top_cm,depth_bottom_cm,humus_pct,n_total_pct,c_n_ratio,co2_pct,caco3_pct,caso4_pct,exch_ca,exch_mg,exch_na,exch_k,exch_sum,p2o5_mobile,k2o_mobile,n_hydrolyzable,ph_water,src_year,salt_sum_salts_pct,salt_alk_hco3_pct,salt_alk_co3_pct,salt_cl_pct,salt_so4_pct,salt_ca_pct,salt_mg_pct,salt_na_pct,salt_k_pct,sand_1_0p25,sand_0p25_0p05,silt_0p05_0p01,silt_0p01_0p005,silt_0p005_0p001,clay_lt0p001,physical_clay_lt0p01,hygroscopic_water_pct,sand_pct,silt_pct,clay_pct,lat_dd,lon_dd,elevation_m,in_aoi,has_coordinates,coord_provenance,georeferenced
08/14,5.0,14.0,0.34,0.028,7.0,1.5,3.5,,10.25,3.25,27.5,0.22,41.2,,,,8.9,2014,,,,,,,,,,,,,,,,,,,,,45.663666666666664,61.71058333333334,40.3,True,True,surveyed,True
08/14,14.0,24.0,,,,,,,,,,,,,,,8.3,2014,,,,,,,,,,,,,,,,,,,,,45.663666666666664,61.71058333333334,40.3,True,True,surveyed,True
08/14,30.0,40.0,,,,,,,,,,,,,,,7.5,2014,,,,,,,,,,,,,,,,,,,,,45.663666666666664,61.71058333333334,40.3,True,True,surveyed,True
09/13,0.0,5.0,0.1,0.018,3.2,,,,1.5,1.75,0.97,0.07,4.3,6.0,50.0,16.8,9.2,2013,0.031,0.017,,0.003,0.002,0.003,0.001,0.003,0.002,48.09,37.46,9.63,2.01,1.2,1.61,4.82,0.32,85.55000000000001,12.84,1.61,46.15313888888889,61.254,55.0,True,True,surveyed,True
09/13,15.0,25.0,0.07,0.018,2.3,,,,1.5,1.5,0.91,0.06,4.0,10.0,90.0,14.0,9.3,2013,,,,,,,,,,,,,,,,,,,,,46.15313888888889,61.254,55.0,True,True,surveyed,True
09/13,40.0,50.0,,0.009,,,,,1.5,2.0,0.99,0.07,4.6,3.0,90.0,11.2,9.3,2013,,,,,,,,,,,,,,,,,,,,,46.15313888888889,61.254,55.0,True,True,surveyed,True
09/13,90.0,100.0,,,,,,,,,,,,,,,9.4,2013,,,,,,,,,,,,,,,,,,,,,46.15313888888889,61.254,55.0,True,True,surveyed,True
09/14,0.0,8.0,0.72,0.042,9.9,6.5,14.8,,11.75,2.5,0.78,0.22,15.3,26.0,330.0,8.4,8.4,2014,0.547,0.017,,0.02,0.347,0.086,0.017,0.047,0.013,8.59,53.57,17.31,5.23,6.84,8.45,20.53,0.6,62.16,29.38,8.45,45.60908333333334,61.77733333333333,32.4,True,True,surveyed,True
09/14,10.0,20.0,0.51,0.042,7.0,6.5,14.8,,5.5,3.25,0.36,0.05,9.2,10.0,110.0,33.6,8.7,2014,,,,,,,,,,,,,,,,,,,,,45.60908333333334,61.77733333333333,32.4,True,True,surveyed,True
09/14,20.0,30.0,0.43,0.056,4.5,6.7,15.3,,9.0,2.75,0.25,0.12,12.1,10.0,100.0,25.2,8.7,2014,,,,,,,,,,,,,,,,,,,,,45.60908333333334,61.77733333333333,32.4,True,True,surveyed,True
09/14,32.0,42.0,0.2,0.028,4.1,7.1,16.1,,4.75,2.5,0.22,0.11,7.6,,,,8.7,2014,,,,,,,,,,,,,,,,,,,,,45.60908333333334,61.77733333333333,32.4,True,True,surveyed,True
