pit_number,pit_code,source_table,depth_raw,depth_top_cm,depth_bottom_cm,CO3_mmol_100g,CO3_pct,HCO3_mmol_100g,HCO3_pct,Cl_mmol_100g,Cl_pct,SO4_mmol_100g,SO4_pct,Ca_mmol_100g,Ca_pct,Mg_mmol_100g,Mg_pct,Na_mmol_100g,Na_pct,K_mmol_100g,K_pct,salinity_pct,sum_anions,sum_cations,source_file,humus_pct,CO2,pH
9,09/20А,chemistry_salinity_ions,10-28 см,10.0,28.0,0.1,0.003,0.3,0.018,19.2,0.682,11.0,0.53,13.6,0.272,16.0,0.195,0.97,0.022,0.368,0.014,1.73,30.585,30.938,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
9,09/20А,chemistry_salinity_ions,28-60 см,28.0,60.0,,,0.35,0.021,20.4,0.724,9.9,0.47,14.0,0.28,13.2,0.161,0.97,0.022,0.238,0.009,1.69,30.641,28.409,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
9,09/20А,chemistry_salinity_ions,60-101 см,60.0,101.0,,,0.5,0.031,8.4,0.298,14.3,0.68,2.2,0.044,6.6,0.081,14.257,0.328,0.076,0.003,1.47,23.167,23.134,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
9,09/20А,chemistry_salinity_ions,101-160 см,101.0,160.0,,,0.45,0.027,6.8,0.241,10.7,0.52,2.4,0.048,4.0,0.049,11.758,0.27,0.033,0.001,1.15,17.998,18.192,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
10,10/20А,chemistry_salinity_ions,0-10 см,0.0,10.0,0.2,0.006,0.55,0.034,33.6,1.193,82.3,3.95,14.8,0.296,23.8,0.29,84.265,1.938,1.951,0.076,7.78,116.626,124.817,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
10,10/20А,chemistry_salinity_ions,10-28 см,10.0,28.0,,,0.4,0.024,9.6,0.341,16.6,0.8,6.4,0.128,3.6,0.044,17.589,0.405,0.626,0.024,1.76,26.63,28.215,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
10,10/20А,chemistry_salinity_ions,28-57 см,28.0,57.0,,,0.35,0.021,6.0,0.213,4.8,0.23,3.2,0.064,2.2,0.027,5.308,0.122,0.146,0.006,0.68,11.168,10.854,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
10,10/20А,chemistry_salinity_ions,57-100 см,57.0,100.0,,,0.45,0.027,1.2,0.043,5.0,0.24,1.2,0.024,0.6,0.007,5.218,0.12,0.016,0.001,0.46,6.687,7.034,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
10,10/20А,chemistry_salinity_ions,100-160 см,100.0,160.0,,,0.4,0.024,1.12,0.04,0.8,0.04,0.4,0.008,0.6,0.007,1.247,0.029,,,0.14,2.29,2.242,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
11,11/20А,chemistry_salinity_ions,0-10 см,0.0,10.0,,,0.5,0.031,0.2,0.007,0.6,0.03,0.4,0.008,0.0,0.0,0.286,0.007,0.545,0.021,0.1,1.251,1.231,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
11,11/20А,chemistry_salinity_ions,10-38 см,10.0,38.0,,,0.45,0.027,0.32,0.011,1.1,0.05,0.6,0.012,0.2,0.002,0.249,0.006,0.707,0.028,0.14,1.868,1.757,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
11,11/20А,chemistry_salinity_ions,38-59 см,38.0,59.0,,,0.45,0.027,0.8,0.028,3.9,0.19,1.0,0.02,0.8,0.01,1.296,0.03,1.484,0.058,0.36,5.193,4.58,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
