№ п/п;Место отбора ;Место отбора (глубина);CO3,             ммоль (экв) /100 г;CO3,            %;HCO3,             ммоль (экв) /100 г;HCO3,             %;Cl,             ммоль (экв) /100 г;Cl, %;SO4, ммоль/  100 г;SO4, %;Ca,             ммоль (экв) /100 г;Ca,            %;Mg,             ммоль (экв) /100 г;Mg,            %;Na, ммоль (экв) /100 г;Na, %;К, ммоль (экв) /100 г;К, %;Соленость, %;Сумма анионов;Сумма катионов;;CO3,             ммоль (экв) /100 г;HCO3,             ммоль (экв) /100 г;Cl,             ммоль (экв) /100 г;SO4, ммоль/  100 г;Ca,             ммоль (экв) /100 г;Mg,             ммоль (экв) /100 г;Na, ммоль (экв) /100 г;К, ммоль (экв) /100 г
57;;59-74 см;-;-;0,400;0,024;4,400;0,156;11,4;0,55;9,200;0,184;2,800;0,034;2,691;0,062;1,916;0,075;1,08;16,222;16,607;;;;;;;;;
58;;74-110 см;-;-;0,450;0,027;5,200;0,185;15,4;0,74;16,000;0,320;3,000;0,037;1,428;0,033;0,902;0,035;1,37;21,011;21,330;;;;;;;;;
59;Разрез 12;0-1 см;-;-;0,450;0,027;0,360;0,013;0,0;0,00;0,400;0,008;0,200;0,002;0,141;0,003;0,027;0,001;0,06;0,814;0,768;14;0;0,42;9,26;13,3;6,4;3,3;12,56;0,54
60;;1-13 см;-;-;0,500;0,031;0,440;0,016;0,5;0,02;0,200;0,004;1,000;0,012;0,075;0,002;0,029;0,001;0,09;1,404;1,304;;0;0,43;9,5;16,3;6;4,06;15,57;0,57
61;;13-39 см;-;-;0,400;0,024;0,440;0,016;0,8;0,04;1,000;0,020;0,400;0,005;0,111;0,003;0,061;0,002;0,11;1,676;1,572;;;;;;;;;
62;;39-81 см;-;-;0,450;0,027;0,480;0,017;1,8;0,09;1,200;0,024;1,000;0,012;0,237;0,005;0,190;0,007;0,18;2,751;2,627;;;;;;;;;
63;;81-110 см;-;-;0,450;0,027;0,960;0,034;3,4;0,16;1,600;0,032;1,600;0,020;1,318;0,030;0,350;0,014;0,32;4,806;4,868;15;0,1;0,45;16,05;41,09;11,4;4,33;42,36;0,57
64;;110-150 см;-;-;0,550;0,034;1,280;0,045;1,1;0,05;0,600;0,012;0,600;0,007;1,498;0,034;0,318;0,012;0,20;2,907;3,016;;0,1;0,42;15,94;34,2;9,6;4,15;36,6;0,48
65;Разрез 13;0-16 см;-;-;0,300;0,018;32,400;1,150;43,8;2,10;7,200;0,144;12,000;0,146;55,313;1,272;1,484;0,058;4,89;76,507;75,997;;;;;;;;;
66;;16-39 см;-;-;0,300;0,018;27,200;0,966;39,4;1,89;7,400;0,148;9,000;0,110;51,552;1,186;1,145;0,045;4,36;66,931;69,097;;;;;;;;;
67;;39-55 см;-;-;0,400;0,024;5,280;0,187;7,7;0,37;1,400;0,028;2,200;0,027;9,558;0,220;0,318;0,012;0,87;13,387;13,476;;;;;;;;;
68;;55-68 см;-;-;0,400;0,024;5,640;0,200;12,0;0,58;5,200;0,104;2,600;0,032;10,310;0,237;0,361;0,014;1,19;18,079;18,472;16;0;0,65;0,62;0,3;0,3;0,3;0,81;0,14
69;;68-75 см;-;-;0,350;0,021;13,520;0,480;13,2;0,64;4,200;0,084;5,800;0,071;17,081;0,393;0,522;0,020;1,70;27,113;27,603;;0;0,95;0,6;0,6;0,26;0,33;1,29;0,12
70;;75-140 см;-;-;0,400;0,024;12,800;0,454;10,1;0,48;1,800;0,036;4,000;0,049;17,833;0,410;0,468;0,018;1,48;23,270;24,101;;;;;;;;;
71;Разрез 14;0-3 см;-;-;0,450;0,027;2,360;0,084;7,0;0,34;3,400;0,068;1,000;0,012;5,045;0,116;0,275;0,011;0,65;9,817;9,720;;;;;;;;;
72;;3-15 см;-;-;0,400;0,024;16,160;0,574;19,5;0,94;9,400;0,188;5,600;0,068;20,090;0,462;0,822;0,032;2,29;36,079;35,912;17;0,2;0,38;23,18;15,5;10,33;6,8;15,58;1,97
73;;15-100 см;-;-;0,450;0,027;10,000;0,355;22,4;1,07;5,200;0,104;5,600;0,068;21,594;0,497;0,640;0,025;2,15;32,813;33,034;;0,2;0,42;18,56;12,5;6,96;4,88;15,45;1,26
74;Разрез 15;0-3 см;0,100;0,003;0,600;0,037;24,000;0,852;85,8;4,12;15,200;0,304;5,800;0,071;89,164;2,051;0,865;0,034;7,47;110,521;111,029;;;;;;;;;
75;;3-24 см;-;-;0,400;0,024;12,000;0,426;24,1;1,16;12,200;0,244;3,200;0,039;20,842;0,479;0,554;0,022;2,39;36,514;36,796;;;;;;;;;
76;;24-55 см;-;-;0,350;0,021;12,160;0,432;15,8;0,76;6,800;0,136;4,000;0,049;17,081;0,393;0,297;0,012;1,80;28,309;28,177;18;0;0,43;0,69;7;5,86;1,73;0,77;0,1
77;;55-100 см;-;-;0,350;0,021;15,600;0,554;11,0;0,53;4,200;0,084;3,600;0,044;19,337;0,445;0,233;0,009;1,68;26,939;27,370;;0;0,42;1,1;5,8;4,28;1,72;1,29;1,12
78;Разрез 16 ;0-10 см;-;-;0,650;0,040;0,360;0,013;0,3;0,02;0,400;0,008;0,400;0,005;0,273;0,006;0,168;0,007;0,09;1,343;1,241;;;;;;;;;
79;;10-32 см;-;-;0,700;0,043;0,880;0,031;0,4;0,02;0,200;0,004;0,200;0,002;1,354;0,031;0,115;0,004;0,13;1,934;1,868;;;;;;;;;
80;;32-100 см;-;-;1,500;0,092;0,560;0,020;1,0;0,05;0,200;0,004;0,400;0,005;2,267;0,052;0,082;0,003;0,22;3,071;2,949;19;0,3;0,51;140,66;160;16,6;59,2;249,1;3,79
81;Разрез 17;0-2 см;0,200;0,006;0,400;0,024;41,600;1,477;22,8;1,1;22,600;0,452;15,600;0,190;6,508;0,150;4,792;0,187;3,58;65,001;49,500;;0,3;0,48;112,6;143;15;47;209,75;3,47
82;;2-13 см;-;-;0,350;0,021;13,200;0,469;15,1;0,7;6,600;0,132;2,000;0,024;19,715;0,453;0,683;0,027;1,85;28,692;28,998;;;;;;;;;
83;;13-36 см;-;-;0,400;0,024;16,400;0,582;8,5;0,41;1,800;0,036;2,800;0,034;20,526;0,472;0,436;0,017;1,58;25,338;25,563;;;;;;;;;
